100%|██████████| 647/647 [01:40<00:00,  6.45it/s]
100%|██████████| 140/140 [00:23<00:00,  5.97it/s]
[Epoch: 1] cost = 2.25015283, valid_cost = 2.19705343
100%|██████████| 647/647 [01:36<00:00,  6.67it/s]
100%|██████████| 140/140 [00:23<00:00,  5.86it/s]
[Epoch: 2] cost = 2.19743276, valid_cost = 2.1969831
100%|██████████| 647/647 [01:34<00:00,  6.84it/s]
100%|██████████| 140/140 [00:23<00:00,  5.86it/s]
[Epoch: 3] cost = 2.19741082, valid_cost = 2.19699097
100%|██████████| 647/647 [01:38<00:00,  6.54it/s]
100%|██████████| 140/140 [00:24<00:00,  5.80it/s]
[Epoch: 4] cost = 2.19748521, valid_cost = 2.19694686
100%|██████████| 647/647 [01:34<00:00,  6.82it/s]
100%|██████████| 140/140 [00:22<00:00,  6.19it/s]
[Epoch: 5] cost = 2.19782043, valid_cost = 2.19696951
100%|██████████| 647/647 [01:37<00:00,  6.66it/s]
100%|██████████| 140/140 [00:22<00:00,  6.20it/s]
[Epoch: 6] cost = 2.19604468, valid_cost = 2.19699144
100%|██████████| 647/647 [01:34<00:00,  6.86it/s]
100%|██████████| 140/140 [00:22<00:00,  6.18it/s]
[Epoch: 7] cost = 2.19011307, valid_cost = 2.19755411
100%|██████████| 647/647 [01:35<00:00,  6.81it/s]
100%|██████████| 140/140 [00:22<00:00,  6.20it/s]
[Epoch: 8] cost = 2.17770433, valid_cost = 2.20086288
100%|██████████| 647/647 [01:34<00:00,  6.87it/s]
100%|██████████| 140/140 [00:22<00:00,  6.17it/s]
[Epoch: 9] cost = 2.17095208, valid_cost = 2.20451427
100%|██████████| 647/647 [01:34<00:00,  6.85it/s]
100%|██████████| 140/140 [00:23<00:00,  6.00it/s]
[Epoch: 10] cost = 2.15494657, valid_cost = 2.21512866

